label,artist,album,genre,single_count,freq_billboard,freq_genius,freq_theSource,freq_xxl,rating_AOTY,rating_meta,rating_pitch,twitter,instagram,facebook,spotify,soundcloud,youtube
0,Sisyphus,Sisyphus,hiphop,1,0,0,0,0,,64,6.2,1597,111,7016,10300,5376,717
0,Ratking,So It Goes,hiphop,4,0,0,8,723,,78,7.5,21017,0,32022,22087,0,5598
0,Manny Phesto,Southside Looking In,hiphop,0,0,0,0,0,,,,0,0,0,610,0,0
1,August Alsina,Testimony,hiphop,6,0,0,25,212,,79,,1061949,6069399,2922813,1186724,1036872,1741929
0,Cassper Nyovest,Tsholofelo,hiphop,3,0,0,0,7,,,,1743528,1906726,2454029,21373,18765,37230
1,Logic,Under Pressure,hiphop,2,1,0,19,133,,72,,2410726,4634332,41307,2281763,396565,1163718
0,DJ DX,The Unfortunate Child,hiphop,0,0,0,0,2,,,,227694,31577,31597,2215,229,5828
1,Yung Lean,Unknown Memory,hiphop,0,0,0,0,3,,,3.6,196749,656885,351274,273034,321163,557798
1,Anderson .Paak,Venice,hiphop,2,0,0,1,379,,,,323980,535843,277805,601921,200361,161381
1,Teyana Taylor,VII,hiphop,3,0,0,17,97,,77,,1198615,6367067,1879766,240644,7109,107892
1,BTS,Wake Up,hiphop,3,0,0,2,453,,,,14391241,9790746,6373148,4171884,899045,7756558
1,Awkwafina,Yellow Ranger,hiphop,0,0,0,0,0,,,,40567,107924,48918,20696,11974,53899
0,Fifi Cooper,20FIFI,hiphop,0,0,0,0,0,,,,0,0,0,474,0,0
1,Raury,All We Need,hiphop,0,0,0,6,1199,,65,6.8,298303,0,0,123524,100176,75525
0,Boots,Aquaria,hiphop,0,0,0,0,115,,68,,111904,0,0,11551,109140,362056
1,Joey Badass,B4.Da.$$,hiphop,8,0,0,11,69,,,,904739,1499433,799211,936734,110747,1012
0,Kriswontwo,Ceremoni,hiphop,0,0,0,1,0,,,,9953,22789,0,173,9301,856
0,Dreamteam,Dreams Never Die,hiphop,4,0,0,0,13,,,,0,0,0,34,0,0
0,Heems,Eat Pray Thug,hiphop,0,0,0,0,2,,76,6.3,40240,16724,8406,12324,4374,309
0,Omen,Elephant Eyes,hiphop,1,0,0,3,10,,,,47176,0,37898,2786,9458,1438
0,Riky Rick,Family Values,hiphop,4,0,0,0,1,,,,803763,1066943,1086143,9582,0,9257
0,Markis Precise,The Feeling of Flying,hiphop,1,0,0,0,26,,,,0,0,0,216,0,0
1,Fetty Wap,Fetty Wap,hiphop,4,1,0,198,657,,68,7.6,793610,5609132,1143188,2994351,554609,2752534
0,Nekfeu,Feu,hiphop,4,0,0,0,0,,,,1404723,1243761,1004636,535479,49425,1117145
1,Ty Dolla Sign,Free TC,hiphop,4,0,0,95,86,,,,1424211,3704558,2930958,1684644,357209,2029576
1,King Los,"God, Money, War",hiphop,4,0,0,92,12,,,,266309,211726,144600,41987,30417,92623
1,Kirk Knight,Late Knight Special,hiphop,2,0,0,12,40,,,6.4,92593,144621,32145,48554,25203,0
0,Wiki,Lil Me,hiphop,3,0,0,20,2226,,,7.6,16673,0,0,9276,0,0
1,Casey Veggies,Live & Grow,hiphop,2,0,0,49,144,,,5.7,329962,186664,144073,160446,85094,27896
0,Injury Reserve,Live From the Dentist Office,hiphop,0,0,0,2,4,,,,17298,17816,11022,47275,13084,19652
0,Gunplay,Living Legend,hiphop,4,0,0,5,119,,68,6.5,177094,262964,175627,49328,3128,29544
0,Mod Sun,Look Up,hiphop,0,0,0,184,42,,,,677855,400993,0,74674,65168,107787
0,Red Pill,Look What This World Did To Us,hiphop,1,0,0,38,155,,,,5244,0,26967,8,0,189948
0,Fleur East,"Love, Sax and Flashbacks",hiphop,2,0,0,0,0,,,,248782,434452,297996,131955,0,5039
0,NF,Mansion,hiphop,3,0,0,70,342,,,,261575,701278,385437,888913,107089,1698825
