artist,album,release_date,ratings
Cadence Weapon,Cadence Weapon,22/01/2018,7.3
The-Dream,Love/Hate,21/01/2018,9.1
Todd Rundgren,Something/Anything?,20/01/2018,9
Glen Hansard,Between Two Shores,20/01/2018,5.7
Matthewdavid,Time Flying Beats,20/01/2018,7.1
Hoodrich Pablo Juan ,Rich Hood,20/01/2018,6.8
Shopping,The Official Body,19/01/2018,8.1
Phew,Voice Hardcore,19/01/2018,7.5
First Aid Kit,Ruins,19/01/2018,6.4
The Go! Team,Semicircle,19/01/2018,6.3
Belle and Sebastian,"How to Solve Our Human Problems, Pt. 2",18/01/2018,7.4
SiR,November,18/01/2018,7.2
Profligate ,Somewhere Else ,18/01/2018,6.8
Organ Tapes,Into One Name,18/01/2018,7.3
Camila Cabello,Camila,17/01/2018,6.8
Shame,Songs of Praise,17/01/2018,7.5
tpsb,Sekundenschlaf,17/01/2018,7.8
Quincy Jones,The Dude,17/01/2018,8.1
Jonny Greenwood,Phantom Thread Original Motion Picture Soundtrack,16/01/2018,7.5
Maxo Kream,Punken,16/01/2018,7.6
Sun Ra,Sun Ra Plays Gershwin,16/01/2018,6.6
Laraaji,"Vision Songs, Vol. 1",16/01/2018,6.7
King Gizzard & The Lizard Wizard,Gumboot Soup,15/01/2018,7.7
Lil Skies,Life of a Dark Rose,15/01/2018,6.4
Gil Scott-Heron,Winter in America,14/01/2018,9.3
Black Rebel Motorcycle Club,Wrong Creatures,13/01/2018,5.8
Jen Shyu,Song of Silver Geese,13/01/2018,7.4
Booji Boys,Weekend Rocker,13/01/2018,7
Panda Bear,A Day With the Homies,12/01/2018,6.6
Conway,G.O.A.T.,12/01/2018,6.5
Carlos Maria Trindade,Mr. Wollogallu ,12/01/2018,7
Francis and the Lights,Just for Us,11/01/2018,6.6
Gucci Mane,El Gato: The Human Glacier ,11/01/2018,7.3
Sidney Gish,No Dogs Allowed,11/01/2018,7.7
Betty Davis,Nasty Gal,10/01/2018,8.4
The Jazz Butcher,The Wasted Years,10/01/2018,6.7
RJMrLA,The Ghetto,10/01/2018,7.2
CupcakKe,Ephorize,09/01/2018,8.3
Scallops Hotel,sovereign nose of (y) our arrogant face,09/01/2018,7.6
Special Explosion,To Infinity,09/01/2018,7.5
The 1975,"DH00278 (Live From the O2, London, 16/12/16)",08/01/2018,7.1
Vera,Good Job No Conversation,08/01/2018,6.8
Shells,Shells 2,08/01/2018,7.6
The Blue Nile,Hats,07/01/2018,8.8
Esperanza Spalding,Exposure,06/01/2018,7.7
Birthing Hips,Urge to Merge,06/01/2018,7
Emily A. Sprague,Water Memory,06/01/2018,7.6
Jeff Rosenstock,POST-,05/01/2018,8.2
Drakeo the Ruler,Cold Devil,05/01/2018,7.9
Various Artist,Bright: The Album,05/01/2018,3.2
Lil Wayne,Dedication 6,04/01/2018,5.8
Jon Brion,Lady Bird (Original Motion Picture Soundtrack),04/01/2018,7.3
Pauline Anna Strom,Trans-Millenia Music,04/01/2018,7.3
Travis Scott,"Huncho Jack, Jack Huncho",03/01/2018,6.3
Jeremy Enigk,Ghosts,03/01/2018,7.4
Virtual Self,Virtual Self EP,03/01/2018,5.9
Zomby, Mercury's Rainbow ,02/01/2018,7.7
The Khan Jamal Creative Arts Ensemble,Drum Dance to the Motherland,02/01/2018,7.3
Onyx Collective ,Lower East Suite Part One,02/01/2018,7.4
Chance the Rapper,Merry Christmas Lil' Mama Re-Wrapped,22/12/2017,7.7
Jeezy,Pressure,22/12/2017,6.3
G-Eazy,The Beautiful & Damned,21/12/2017,5.1
Shy Glizzy,Quiet Storm,21/12/2017,7.1
Charli XCX,Pop 2,20/12/2017,8.4
The Body,A Home on Earth EP,20/12/2017,7.2
Eminem,Revival,19/12/2017,5
Superpitcher,The Golden Ravedays,19/12/2017,6.6
N.E.R.D.,No_One Ever Really Dies,18/12/2017,6.2
Tom Rogerson,Finding Shore ,18/12/2017,8
Rage Against the Machine,Rage Against the Machine,17/12/2017,9.1
Various Artist,Diggin in the Carts: A Collection of Pioneering Japanese Video Game Music,16/12/2017,7.5
Wyclef Jean,Wyclef Jean Inspired By...,16/12/2017,5
BROCKHAMPTON,Saturation III,15/12/2017,7.5
Fela Kuti,Fela Kuti Box Set #4 ,15/12/2017,8.5
Tee Grizzley,Bloodas,15/12/2017,7.4
Ahnnu,Special Forces,15/12/2017,7.6
Jim James,Tribute to 2,14/12/2017,6.2
Total Control,Laughing at the System EP,14/12/2017,8
Mike Dunn,My House From All Angles ,14/12/2017,6
Roy Wood$,Say Less,14/12/2017,6.3
Big Sean,Double or Nothing,13/12/2017,5.4
Statik Selektah,8,13/12/2017,5.9
G Perico,2 Tha Left,13/12/2017,7.7
Makaya McCraven,Highly Rare,13/12/2017,7.6
Various Artist,"Quality Control: Control the Streets, Vol. 1",12/12/2017,7.9
Thurston Moore,Improvisations ,12/12/2017,5.6
Lil Baby,Too Hard,12/12/2017,6.4
Palta,Universel,12/12/2017,7.3
Chief Keef,Dedication,11/12/2017,7.4
Chris Stapleton,From A Room: Volume 1,11/12/2017,7.6
Various Artist,Habibi Funk: An Eclectic Selection of Music From the Arab World,11/12/2017,7.6
Ceramic TL,Perfect Lung,11/12/2017,7.3
Mariah Carey,Daydream,10/12/2017,7.9
Visible Cloaks,Lex,09/12/2017,7.1
Hypnotic Brass Ensemble ,Book of Sound,09/12/2017,7
Belle and Sebastian,"How to Solve Our Human Problems, Pt. 1",08/12/2017,6.9
Pender Street Steppers,Pender Street Steppers,08/12/2017,7.2
K. Michelle,KIMBERLY: The People I Used to Know,08/12/2017,7
Loke Rahbek & Frederik Valentin,Buy Corals Online,08/12/2017,7.2
"""Weird Al"" Yankovic","Squeeze Box: The Complete Works of ""Weird Al"" Yankovic",07/12/2017,8.2
Mick Jenkins,Or More; the Anxious,07/12/2017,6.7
Morbid Angel,Kingdoms Disdained,07/12/2017,7.3
PnB Rock,Catch These Vibes,07/12/2017,6.5
Wilco,A.M.,06/12/2017,7
Hopsin,No Shame,06/12/2017,3.5
Glassjaw,Material Control,06/12/2017,6.6
Nabihah Iqbal,Weighing of the Heart,06/12/2017,7.7
Neil Young,The Visitor,05/12/2017,6.7
Minnie Riperton,Perfect Angel,05/12/2017,9
Sia,Everyday Is Christmas,05/12/2017,5.8
Zaytoven,Zaytown Sorority Vol. 2,05/12/2017,6.2
U2,Songs of Experience,04/12/2017,5.3
Godflesh,Post Self,04/12/2017,8.1
blackbear,cybersex,04/12/2017,4.1
Expander,Endless Computer,04/12/2017,7.8
Lou Reed,Metal Machine Music,03/12/2017,8.7
Metallica,Master of Puppets,02/12/2017,10
T-Pain,Oblivion,02/12/2017,6.7
Fabolous, Friday on Elm Street ,02/12/2017,6
Krallice,Loum,02/12/2017,7.6
Miguel,War & Leisure,01/12/2017,8.1
INXS,Kick,01/12/2017,8.4
King Gizzard & The Lizard Wizard,Polygondwanaland,01/12/2017,7.2
Various Artist,Call Me By Your Name (Original Motion Picture Soundtrack),01/12/2017,7.6
NxWorries,Yes Lawd! Remixes,30/11/2017,7.4
Equiknoxx  ,Colon Man,30/11/2017,8.1
Prurient,Rainbow Mirror,30/11/2017,6.2
Lil Wop,Wopavelli 3 ,30/11/2017,6.8
Sufjan Stevens,The Greatest Gift,29/11/2017,7.2
Tove Lo,Blue Lips,29/11/2017,7.1
Sam Gendel,4444,29/11/2017,7
Terekke,Plant Age,29/11/2017,7.9
Noel Gallagher's High Flying Birds,Who Built the Moon?,28/11/2017,7.1
Mach-Hommy,Fete Des Morts AKA Dia De Los Muertos,28/11/2017,7.9
HARAM,"bs rbHt, khsrt ""When You Have Won, You Have Lost""",28/11/2017,8
Peter Matthew Bauer,Mount Qaf (Divine Love),28/11/2017,7
Bjork,Utopia,27/11/2017,8.4
Fits,All Belief Is Paradise,27/11/2017,7.3
CyHi the Prynce ,No Dope on Sundays,27/11/2017,6.8
OCS,Memory of a Cut Off Head,27/11/2017,6.5
Bronski Beat,The Age of Consent,26/11/2017,7.2
Talib Kweli,Radio Silence,25/11/2017,6.7
Sharon Jones and the Dap-Kings,Soul of a Woman,24/11/2017,8
The Fall,The Fall - Singles 1978-2016,22/11/2017,8.4
Tim Heidecker,Too Dumb For Suicide: Tim Heidecker's Trump Songs,22/11/2017,6.9
Cam'ron,The Program,22/11/2017,5.5
Morrissey,Low in High School,21/11/2017,5.7
Jaden Smith,SYRE,21/11/2017,5.1
Bill Brewster,Bill Brewster Presents Tribal Rites,21/11/2017,7.8
Qasim Naqvi,FILM,21/11/2017,7.7
Baths,Romaplasm,20/11/2017,7.9
Bitchin Bajas,Bajas Fresh,20/11/2017,8
Young Jesus,S/T,20/11/2017,7.8
Coupler,Gifts From the Ebb Tide,20/11/2017,7.1
Willie Nelson,Red Headed Stranger,19/11/2017,9.3
The 6ths,Wasps' Nests,18/11/2017,8.5
Contributors,Contributors,18/11/2017,7.3
Posse,Horse Blanket,18/11/2017,7.6
Petra Glynt,This Trip,18/11/2017,7.8
Charlotte Gainsbourg,Rest,17/11/2017,8.7
Gord Downie,Introduce Yerself,17/11/2017,7.4
Silvia Kastel,Air Lows,17/11/2017,7
Caracara,Summer Megalith,17/11/2017,7.7
Mavis Staples,If All I Was Was Black,16/11/2017,7.6
The Body & Full of Hell,Ascending a Mountain of Heavy Light,16/11/2017,7.8
Martin Carr,New Shapes of Life,16/11/2017,7.4
Why Khaliq,The Mustard Seed,16/11/2017,7.8
Wiz Khalifa,"Laugh Now, Fly Later",15/11/2017,5.2
Hiroshi Yoshimura,Music for Nine Postcards,15/11/2017,8.5
Gun Outfit,Out of Range,15/11/2017,7.1
Quicksand,Interiors,15/11/2017,6.4
