artist,album,genre,single_count
James Skelly & The Intenders,Love Undercover,rnb,2
Jessica Sanchez,Me You & the Music,rnb,1
PJ Morton,New Orleans,rnb,2
Mack Wilds,New York: A Love Story,rnb,1
Inc. No World,No World,rnb,2
Tiwa Savage,Once Upon a Time,rnb,7
K. Michelle,Rebellious Soul,rnb,2
Laura Mvula,Sing to the Moon,rnb,3
Alex Hepburn,Together Alone,rnb,2
Rhye,Woman,rnb,2
Ariana Grande,Yours Truly,rnb,3
Zendaya,Zendaya,rnb,1
Zara Larsson,1,rnb,4
Tinashe,Aquarius,rnb,3
Chet Faker,Built on Glass,rnb,3
Ashley Roberts,Butterfly Effect,rnb,2
Tessanne Chin,Count On My Love,rnb,2
Traci Braxton,Crash & Burn,rnb,2
The Wah Wah Collective,Cry Baby Soul,rnb,2
Darren Espanto,Darren,rnb,3
Daley,Days & Nights,rnb,2
Tensnake,Glow,rnb,4
Erica Campbell,Help,rnb,3
Ludmilla,Hoje,rnb,5
Hozier,Hozier,rnb,7
Sam Smith,In the Lonely Hour,rnb,7
Issues,Issues,rnb,3
Yemi Alade,King of Queens,rnb,6
FKA Twigs,LP1,rnb,3
Sam Hunt,Montevallo,rnb,5
Candice Glover,Music Speaks,rnb,1
Nadine Lustre,Nadine Lustre,rnb,4
PartyNextDoor,PartyNextDoor Two,rnb,3
Sam Bailey,The Power of Love,rnb,2
Christon Gray,School of Roses,rnb,0
SoMo,SoMo,rnb,5
Jhene Aiko,Souled Out,rnb,3
Kiesza,Sound of a Woman,rnb,5
Sohn,Tremors,rnb,0
Young & Sick,Young & Sick,rnb,2
Glass Animals,Zaba,rnb,4
Willow,Ardipithecus,rnb,0
Andra Day,Cheers to the Fall,rnb,0
Leon Bridges,Coming Home,rnb,2
Kirby Maurier,Doing the Most,rnb,0
Ella Eyre,Feline,rnb,4
Tina Campbell,It's Personal,rnb,0
Alessia Cara,Know-It-All,rnb,3
Tyler Carter,Leave Your Love,rnb,3
Rixton,Let the Road,rnb,4
Sada K.,Long Story Short,rnb,0
Kwabs,Love + War,rnb,4
Shamir,Ratchet,rnb,4
Fifth Harmony,Reflection,rnb,3
Jarryd James,Thirty One,rnb,4
Joe Moore,A Thousand Lifetimes,rnb,2
Meghan Trainor,Title,rnb,4
Rhiannon Giddens,Tomorrow Is My Turn,rnb,0
Tori Kelly,Unbreakable Smile,rnb,3
Tyler Shaw,Yesterday,rnb,6
Nathaniel Willemse,Yours,rnb,5
Lion Babe,Begin,rnb,3
Nao,For All We Know,rnb,4
Lance Skiiiwalker,Introverted Intuition,rnb,2
Lapsley,Long Way Home,rnb,6
Majid Jordan,Majid Jordan,rnb,7
Zayn,Mind of Mine,rnb,3
Shila Amzah,My Journey,rnb,3
JONES,New Skin,rnb,4
Gallant,Ology,rnb,2
Jack Garratt,Phase,rnb,7
Kilo Kish,Reflections in Real Time,rnb,0
dvsn,SEPT. 5TH,rnb,4
Cana's Voice,This Changes Everything,rnb,0
Nathan Sykes,Unfinished Business,rnb,4
Honne,Warm on a Cold Night,rnb,5
Raleigh Ritchie,You're a Man Now Boy,rnb,6
Cashmere Cat,9,rnb,4
Khalid,American Teen,rnb,3
PnB Rock,Catch These Vibes,rnb,2
Amber Coffman,City of No Reply,rnb,3
SZA,Ctrl,rnb,5
Sevyn Streeter,Girl Disrupted,rnb,3
Gabriel Garzon-Montano,Jardin,rnb,3
Jona Viray,Jona,rnb,7
Sampha,Process,rnb,3
Ruth B,Safe Haven,rnb,3
Kehlani,SweetSexySavage,rnb,3
Kelela,Take Me Apart,rnb,4
Chloe x Halle,The Kids Are Alright,rnb,2
Jorja Smith,Lost & Found,rnb,3
Poo Bear,Poo Bear Presents Bearthday Music,rnb,0
Anne-Marie,Speak Your Mind,rnb,6
Andy Grammer,Andy Grammer,soul,3
Vintage Trouble,The Bomb Shelter Sessions,soul,3
The Horrible Crowes,Elsie,soul,1
Jamala,For Every Heart,soul,3
Graham Alexander,Graham Alexander,soul,0
Alex Clare,The Lateness of the Hour,soul,4
Clare Maguire,Light After Dark,soul,3
Zahara,Loliwe,soul,2
Charles Bradley,No Time for Dreaming,soul,2
Tedeschi Trucks Band,Revelator,soul,0
SBTRKT,SBTRKT,soul,4
The Stepkids,The Stepkids,soul,0
SuperHeavy,SuperHeavy,soul,2
Willis Earl Beal,Acousmatic Sorcery,soul,0
Natalie Duncan,Devil In Me,soul,2
Jessie Ware,Devotion,soul,6
Michael Kiwanuka,Home Again,soul,4
Cold Specks,I Predict a Graceful Expulsion,soul,0
Eve Ai,If You Love Me,soul,3
Marcus Collins,Marcus Collins,soul,2
Aiden Grimshaw,Misty Eye,soul,2
Chantal Claret,The One The Only...,soul,0
Jay James Picton,Play It by Heart...,soul,0
Ren Harvieu,Through The Night,soul,4
Leslie Clio,Gladys,soul,5
Rudimental,Home,soul,8
Wild Belle,Isles,soul,0
The Lone Bellow,The Lone Bellow,soul,0
Tom Odell,Long Way Down,soul,5
Jahmene Douglas,Love Never Fails,soul,2
Valerie June,Pushin' Against a Stone,soul,0
John Newman,Tribute,soul,4
Avicii,TRUE,soul,5
Jeremy Loops,Sheer Sound,soul,0
Ella Henderson,Chapter One,soul,4
Taylor McFerrin,Early Riser,soul,1
Elise Testone,In This Life,soul,0
Jungle,Jungle,soul,4
Unspoken,Unspoken,soul,0
Algiers,Algiers,soul,4
Jordan Feliz,Beloved,soul,0
Andee,Black and White Heart,soul,4
James Bay,Chaos and the Calm,soul,6
Ibeyi,Ibeyi,soul,0
Seinabo Sey,Pretend,soul,3
Son Little,Son Little,soul,0
Ravenhill,Soul,soul,0
Chris Stapleton,Traveller,soul,3
Amanda Black,Amazulu,soul,3
Matt Corby,Telluric,soul,1
Moses Sumney,Aromanticism,soul,3
Rag'n'Bone Man,Human,soul,5
