artist,album,freq_xxl
Francesca Michielin,Riflessi di me,0
Points North,Road Less Traveled,0
Royal Southern Brotherhood,Royal Southern Brotherhood,4
The Royal Royal,The Royalty,308
The Rubens,The Rubens,1
Youngblood,Running Home to You,110
Samantha Jade,Samantha Jade,2
Von,Satanic Blood,3
Beautiful Eulogy,Satellite Kite,0
Moxiie,Savage,920
All Sons & Daughters,Season One,13162
Levi the Poet,Seasons,0
Iris,Seventeen,39
Dry The River,Shallow Bed,0
Rachael Leahcar,Shooting Star,0
Purity Ring,Shrines,1
Victoria Duffield,Shut Up and Dance,20
Twelve Foot Ninja,Silent Machine,0
Merrymouth,Simon Fowler's Merrymouth,0
Jamie McDell,Six Strings and a Sailboat,0
T & N,Slave to the Empire,1872
Aimer,Sleepless Nights,4
Daveed Diggs,Small Things to a Giant,0
Kreayshawn,Somethin' 'Bout Kreay,0
Tayla Alexander,Songbird,0
Pallbearer,Sorrow and Extinction,0
Dan Le Sac,Space Between the Words,1
Freeze the Atlantic,Speakeasy,1
SpeXial,SpeXial,0
World Fire Brigade,Spreading My Wings,8
Mike Scheidt,Stay Awake,0
Crowns,Stitches in the Flag,1
Vintage Blue,Strike the Mics,0
JJAMZ,Suicide Pact,0
People on Vacation,The Summer and the Fall,1178
Swearin',Swearin',0
Buffalocomotive,Tears of the Enchanted Mainframe,0
The Toure-Raichel Collective,The Tel Aviv Session,0
The Original Rudeboys,This Life,304
7 Horns 7 Eyes,Throes of Absolution,0
Ren Harvieu,Through The Night,4
Capture the Crown,'Til Death,1
My Ticket Home,To Create a Cure,95
Toy,TOY,87
The Weeknd,Trilogy,741
Totally Enormous Extinct Dinosaurs,Trouble,0
Trust,TRST,474
Diggy Simmons,Unexpected Arrival,2
Unisonic,Unisonic (album),0
Kip Moore,Up All Night,5
Kid Ink,Up & Away,1691
Valley of Fear,Valley of Fear,392
Hello Venus,Venus,53
Jesse Kaikuranta,Vie mut kotiin,0
Datsik,Vitamin D,10
AxeWound,Vultures,49
Tebey,The Wait,1339
Swoope,Wake Up,434
Clock Opera,Ways to Forget,0
The Overseer,We Search We Dig,148
Time Is a Thief,We're Not Strangers,340
Sevi,What Lies Beyond,4
Stepdad,Wildlife Pop,1
Windhand,Windhand,0
Steve Aoki,Wonderland,35
Phillip Phillips,The World from the Side of the Moon,11
Willam Belli,Shartistry in Motion,0
WZRD,WZRD,2
Andain,You Once Told Me,247
Birds in Row,You Me & the Violence,164
Andy Moor,Zero Point One,0
1GN,1 Girl Nation,3
Terrace Martin,3ChordFold,75
King Krule,6 Feet Beneath the Moon,1
7 Days of Funk,7 Days of Funk,488
Brandy Clark,12 Stories,2
Def Dee,33 and a Third,79
Palma Violets,180,0
Durag Dynasty,360 Waves,0
The 1975,The 1975,25
Doyle,Abominator,1
Adopted as Holograph,Adopted as Holograph,30
Gesaffelstein,Aleph,4
Black Star Riders,All Hell Breaks Loose,1
Heavatar,Opus I - All My Kingdoms,27
Ivan & Alyosha,All the Times We Had,7
All Things New,All Things New,11634
Atoms for Peace,Amok,0
Andy Kaufman,Andy and His Grandmother,60
Anitta,Anitta,9
Crooked I,Apex Predator,0
Boogarins,As Plantas Que Curam,0
Alex Faith,ATLast,2
RUFUS,Atlas,20
Bastille,Bad Blood,160
Dimmi Argus,Bad Dream,0
Mamadee,Beautiful Soul,51
Jenny Simmons,The Becoming,15
Bo Bruce,Before I Sleep,1
Broiler,The Beginning,1053
Kevin Walker,Belong,8
Love and Death,Between Here & Lost,398
The Rage,Big Spill,75
Arcane Roots,Blood & Chemistry,17
AlunaGeorge,Body Music,571
Chvrches,The Bones of What You Believe,517
Johnny Borrell,Borrell 1,0
Bosnian Rainbows,Bosnian Rainbows,0
Brady Toops,Brady Toops,0
Yohio,Break the Border,1
Feed Me,Calamari Tuesday,2
Capital Kings,Capital Kings,4
Eight Bells,The Captain's Daughter,0
Tim Timmons,Cast My Cares,0
Rodrigo Amarante,Cavalo,0
Kimberley Walsh,Centre Stage,0
Chelsea Light Moving,Chelsea Light Moving,78
The Child of Lov,The Child of Lov,979
Shiritsu Ebisu Chugaku,Chunin,0
Purson,The Circle and the Blue Door,52
Beastmilk,Climax,20
Logos,Cold Mission,11
Splashh,Comfort,225
Dawid Podsiadlo,Comfort and Happiness,0
Body/Head,Coming Apart,56
Heliotropes,A Constant Sea,2
Goodnight Sunrise,Create/Destroy/Create,0
Fit for a King,Creation | Destruction,68
Milk Music,Cruise Your Illusion,0
Marnie,Crystal World,22
Wampire,Curiosity,38
Maggie Rose,Cut to Impress,0
Mat Zo,Damage Control,0
Dami Im,Dami Im,0
Danielle Bradbery,Danielle Bradbery,1
Haim,Days Are Gone,90
Jason van Wyk,Days You Remember,0
Sworn In,The Death Card,5
Solamors,Depravity's Demise,0
Raven Lord,Descent to the Underworld,3
Device,Device,46
Ed Roland and the Sweet Tea Project,Devils 'n Darlins,0
Hot Natured,Different Sides of the Sun,23
Spekti,Diktaattorimies,0
Sound of Contact,Dimensionaut,21
Krista Siegfrids,Ding Dong!,0
Angel Haze,Dirty Gold,5
Phildel,The Disappearance of the Girl,1376
Daniel Padilla,DJP,0
Ejecta,Dominae,0
