artist,album,freq_genius
Thank You Scientist,Maps of Non-Existent Places,0
Alina Devecerski,Music Machine,0
Marcus Collins,Marcus Collins,0
Melody's Echo Chamber,Melody's Echo Chamber,0
Leon Thomas III,Metro Hearts,0
Michael Lynche,Michael Lynche,0
Riz MC,Microscope,0
The Midnight Beast,The Midnight Beast,0
Crucified Barbara,The Midnight Chase,0
Milo Greene,Milo Greene,0
Sucre,A Minor Bird,0
Lil Ugly Mane,Mista Thug Isolation,0
Aiden Grimshaw,Misty Eye,0
Villainy,Mode. Set. Clear.,0
Alex & Nilusha,Moments in Time,4
Electric Guest,Mondo,0
Froggy Fresh,Money Maker (Reloaded),0
Death Grips,The Money Store,0
Siobhan Magnus,Moonbaby,0
Moshi Monsters,Music Rox!,0
Karise Eden,My Journey,0
Luca Hanni,My Name Is Luca,0
Farrah Abraham,My Teenage Dream Ended,0
Robin Stjernberg,My Versions,0
Nephew Tommy,Nephew Tommy's Prank Phone Calls: Volume 1,0
Make Them Suffer,Neverbloom,0
Jay Farrar Will Johnson Anders Parker and Yim Yames,New Multitudes,0
Imagine Dragons,Night Visions,0
Sarah De Bono,Sarah De Bono,0
Noah Stewart,Noah,0
Adrenaline Mob,Omerta,0
Davido,Omo Baba Olowo,0
Taryn Southern,On My Face,0
Chantal Claret,The One The Only...,0
Rita Ora,Ora,0
DIIV,Oshin,0
Emeli Sande,Our Version of Events,0
Diandra,Outta My Head,0
Baptiste Giabiconi,Oxygen,0
Kool A.D.,The Palm Wine Drinkard,0
Cody Simpson,Paradise,0
Elle Varner,Perfectly Imperfect,0
Peter Buck,Peter Buck,0
Pioneer,Pioneer,0
Jay James Picton,Play It by Heart...,0
Future,Pluto,0
The Algorithm,Polymorphic Code,0
Poor Moon,Poor Moon,0
Ne Obliviscaris,Portal of I,0
JK Flesh,Posthuman,0
Inverse Phase,Pretty Eight Machine,0
Scratcha DVA,Pretty Ugly,0
John K. Samson,Provincial,0
Chris Wallace,Push Rewind,0
Laurel Halo,Quarantine,0
Ramin Karimloo,Ramin,0
Cro,Raop,0
Jeremiah Jae,Raw Money Raps,0
The Orwells,Remember When,0
Elitist,Reshape Reason,0
Francesca Michielin,Riflessi di me,0
Points North,Road Less Traveled,0
Royal Southern Brotherhood,Royal Southern Brotherhood,0
The Royal Royal,The Royalty,0
The Rubens,The Rubens,0
Youngblood,Running Home to You,0
Samantha Jade,Samantha Jade,0
Von,Satanic Blood,0
Beautiful Eulogy,Satellite Kite,0
Moxiie,Savage,0
All Sons & Daughters,Season One,28
Levi the Poet,Seasons,0
Iris,Seventeen,0
Dry The River,Shallow Bed,0
Rachael Leahcar,Shooting Star,0
Purity Ring,Shrines,0
Victoria Duffield,Shut Up and Dance,0
Twelve Foot Ninja,Silent Machine,0
Merrymouth,Simon Fowler's Merrymouth,0
Jamie McDell,Six Strings and a Sailboat,0
T & N,Slave to the Empire,58
Aimer,Sleepless Nights,0
Daveed Diggs,Small Things to a Giant,0
Kreayshawn,Somethin' 'Bout Kreay,0
Tayla Alexander,Songbird,0
Pallbearer,Sorrow and Extinction,0
Dan Le Sac,Space Between the Words,0
Freeze the Atlantic,Speakeasy,0
SpeXial,SpeXial,0
World Fire Brigade,Spreading My Wings,0
Mike Scheidt,Stay Awake,0
Crowns,Stitches in the Flag,0
Vintage Blue,Strike the Mics,0
JJAMZ,Suicide Pact,0
People on Vacation,The Summer and the Fall,0
Swearin',Swearin',0
Buffalocomotive,Tears of the Enchanted Mainframe,0
The Toure-Raichel Collective,The Tel Aviv Session,0
The Original Rudeboys,This Life,0
7 Horns 7 Eyes,Throes of Absolution,0
Ren Harvieu,Through The Night,0
Capture the Crown,'Til Death,0
My Ticket Home,To Create a Cure,0
Toy,TOY,0
The Weeknd,Trilogy,0
Totally Enormous Extinct Dinosaurs,Trouble,0
Trust,TRST,0
Diggy Simmons,Unexpected Arrival,0
Unisonic,Unisonic (album),0
Kip Moore,Up All Night,0
Kid Ink,Up & Away,0
Valley of Fear,Valley of Fear,0
Hello Venus,Venus,0
Jesse Kaikuranta,Vie mut kotiin,0
Datsik,Vitamin D,0
AxeWound,Vultures,0
Tebey,The Wait,0
Swoope,Wake Up,0
Clock Opera,Ways to Forget,0
The Overseer,We Search We Dig,0
Time Is a Thief,We're Not Strangers,0
Sevi,What Lies Beyond,0
Stepdad,Wildlife Pop,0
Windhand,Windhand,0
Steve Aoki,Wonderland,0
Phillip Phillips,The World from the Side of the Moon,0
Willam Belli,Shartistry in Motion,0
WZRD,WZRD,3
Andain,You Once Told Me,0
Birds in Row,You Me & the Violence,0
Andy Moor,Zero Point One,0
1GN,1 Girl Nation,0
Terrace Martin,3ChordFold,0
King Krule,6 Feet Beneath the Moon,0
7 Days of Funk,7 Days of Funk,0
Brandy Clark,12 Stories,0
Def Dee,33 and a Third,0
Palma Violets,180,0
Durag Dynasty,360 Waves,0
The 1975,The 1975,0
Doyle,Abominator,0
Adopted as Holograph,Adopted as Holograph,0
Gesaffelstein,Aleph,0
Black Star Riders,All Hell Breaks Loose,0
Heavatar,Opus I - All My Kingdoms,0
Ivan & Alyosha,All the Times We Had,1
All Things New,All Things New,0
Atoms for Peace,Amok,0
Andy Kaufman,Andy and His Grandmother,0
Anitta,Anitta,0
Crooked I,Apex Predator,0
Boogarins,As Plantas Que Curam,0
Alex Faith,ATLast,0
RUFUS,Atlas,0
Bastille,Bad Blood,0
Dimmi Argus,Bad Dream,0
Mamadee,Beautiful Soul,0
Jenny Simmons,The Becoming,0
Bo Bruce,Before I Sleep,0
Broiler,The Beginning,0
Kevin Walker,Belong,0
Love and Death,Between Here & Lost,0
The Rage,Big Spill,0
Arcane Roots,Blood & Chemistry,0
AlunaGeorge,Body Music,0
Chvrches,The Bones of What You Believe,0
Johnny Borrell,Borrell 1,0
Bosnian Rainbows,Bosnian Rainbows,0
Brady Toops,Brady Toops,0
Yohio,Break the Border,0
Feed Me,Calamari Tuesday,0
Capital Kings,Capital Kings,0
Eight Bells,The Captain's Daughter,0
Tim Timmons,Cast My Cares,0
Rodrigo Amarante,Cavalo,0
Kimberley Walsh,Centre Stage,0
Chelsea Light Moving,Chelsea Light Moving,0
The Child of Lov,The Child of Lov,0
Shiritsu Ebisu Chugaku,Chunin,0
Purson,The Circle and the Blue Door,0
Beastmilk,Climax,0
Logos,Cold Mission,0
Splashh,Comfort,0
Dawid Podsiadlo,Comfort and Happiness,0
Body/Head,Coming Apart,0
Heliotropes,A Constant Sea,0
Goodnight Sunrise,Create/Destroy/Create,0
Fit for a King,Creation | Destruction,0
Milk Music,Cruise Your Illusion,0
Marnie,Crystal World,0
Wampire,Curiosity,0
Maggie Rose,Cut to Impress,0
Mat Zo,Damage Control,0
Dami Im,Dami Im,0
Danielle Bradbery,Danielle Bradbery,0
Haim,Days Are Gone,0
Jason van Wyk,Days You Remember,0
Sworn In,The Death Card,0
Solamors,Depravity's Demise,0
Raven Lord,Descent to the Underworld,0
Device,Device,0
Ed Roland and the Sweet Tea Project,Devils 'n Darlins,0
Hot Natured,Different Sides of the Sun,0
Spekti,Diktaattorimies,0
Sound of Contact,Dimensionaut,0
Krista Siegfrids,Ding Dong!,0
Angel Haze,Dirty Gold,0
Phildel,The Disappearance of the Girl,0
Daniel Padilla,DJP,0
Ejecta,Dominae,0
Tiger Bell,Don't Wanna Hear About Your Band!,0
Earl Sweatshirt,Doris,0
