index,artists,albums,release_date,ratings
595,G Herbo,Humble Beast,20/10/2017,7.8
596,Gucci Mane,Mr. Davis,19/10/2017,7.4
597,Tegan and Sara,The Con X: Covers,19/10/2017,6.5
598,D.K. / S.K.,D.K. / S.K. EP,19/10/2017,6.7
599,Citizen,As You Please,19/10/2017,6.5
600,dvsn,Morning After,18/10/2017,7.6
601,Giggs,Wamp 2 Dem,18/10/2017,7.5
602,Byron Westbrook,Body Consonance,18/10/2017,7.7
603,YoungBoy Never Broke Again,Ain‰Ûªt Too Long,18/10/2017,7.4
604,Beck,Colors,17/10/2017,6.3
605,Stars,There Is No Love in Fluorescent Light,17/10/2017,7.2
606,Abra,Rose,17/10/2017,6.6
607,TOKiMONSTA,Lune Rouge,17/10/2017,6.8
608,St. Vincent,Masseduction,16/10/2017,7.6
609,Trippie Redd,A Love Letter to You 2,16/10/2017,6.4
610,King Khan,Murderburgers,16/10/2017,6.4
611,Sun Ra and His Arkestra,The Magic City,16/10/2017,8.5
612,Brian Eno,Wrong Way Up,15/10/2017,8.7
613,Cults,Offering,14/10/2017,6.6
614,Levon Vincent,For Paris,14/10/2017,7.7
615,Richard Horowitz,Eros in Arabia,14/10/2017,7.8
616,NHK yx koyxen,Exit Entrance,14/10/2017,7.4
617,King Krule,The OOZ,13/10/2017,9
618,Weaves,Wide Open,13/10/2017,7.2
619,Fatima Al Qadiri,Shaneera EP,13/10/2017,7.6
620,Melkbelly,Nothing Valley ,13/10/2017,7.5
621,Courtney Barnett,Lotta Sea Lice,12/10/2017,7.6
622,The Darkness,Pinewood Smile,12/10/2017,4.8
623,Blue Hawaii,Tenderness,12/10/2017,7.2
624,Lil Pump,Lil Pump,12/10/2017,6.9
625,Wolf Parade,Cry Cry Cry,11/10/2017,6.7
626,Torres,Three Futures,11/10/2017,8
627,Marilyn Manson,Heaven Upside Down,11/10/2017,5.9
628,Smokepurpp,DEADSTAR,11/10/2017,6.2
629,Tom Petty,Damn the Torpedoes,10/10/2017,9.2
630,Tom Petty,Full Moon Fever,10/10/2017,8.1
631,Tom Petty,Tom Petty and the Heartbreakers,10/10/2017,7
632,Tom Petty,Wildflowers,10/10/2017,8.8
633,The Replacements,For Sale: Live at Maxwell‰Ûªs 1986,09/10/2017,8.7
634,The Weather Station,The Weather Station ,09/10/2017,8
635,Kele Okereke,Fatherland,09/10/2017,6.5
636,Alex Lahey,I Love You Like a Brother,09/10/2017,7.6
637,Special Request,Belief System,09/10/2017,6.4
638,Wyclef Jean,The Carnival,08/10/2017,8
639,Common,Electric Circus,07/10/2017,8.4
640,Standing on the Corner,Red Burns,07/10/2017,8
641,CÌ©cile McLorin Salvant,Dreams and Daggers,07/10/2017,7.6
642,ZiÌ_r,U Feel Anything?,07/10/2017,7.1
643,Kelela,Take Me Apart,06/10/2017,8.6
644,Kaitlyn Aurelia Smith,The Kid,06/10/2017,8.1
