index,artists,albums,release_date,ratings
42,Tom Misch,Geography,11/04/2018,6.5
43,Cardi B,Invasion of Privacy,10/04/2018,8.7
44,Flatbush Zombies,Vacation in Hell,10/04/2018,7.1
45,Makeness,Loud Patterns,10/04/2018,7.2
46,Project Pablo,There‰Ûªs Always More at the Store EP,10/04/2018,6.7
47,Unknown Mortal Orchestra,Sex & Food,09/04/2018,7
48,Glasser,Sextape,09/04/2018,7.8
49,Rich the Kid,The World Is Yours,09/04/2018,6.6
50,Goat Girl ,Goat Girl,09/04/2018,7.5
51,Johnny Cash,American Recordings,08/04/2018,8.2
52,Dr. Octagon,Moosebumps: An Exploration Into Modern Day Horripilation,07/04/2018,6.7
53,Zeke,Hellbender,07/04/2018,7.7
54,Tink,Pain & Pleasure  EP,07/04/2018,6.3
55,Paul de Jong,You Fucken Sucker,07/04/2018,5.5
56,Hop Along,"Bark Your Head Off, Dog",06/04/2018,8
57,The Wonder Years,Sister Cities,06/04/2018,7.1
58,Wye Oak,"The Louder I Call, the Faster It Runs",06/04/2018,8
59,Hinds,I Don‰Ûªt Run ,06/04/2018,7.4
60,Kylie Minogue,Golden,06/04/2018,5.4
61,The Voidz,Virtue,05/04/2018,6.9
62,Chris Carter,Chris Carter‰Ûªs Chemistry Lessons Volume One,05/04/2018,8
63,Empath,Liberating Guilt and Fear,05/04/2018,8.1
64,Lil Durk,Just Cause Y‰Ûªall Waited,05/04/2018,7.3
65,Jean Grae,Everything's Fine,04/04/2018,8.4
66,Daphne & Celeste,Daphne & Celeste Save The World,04/04/2018,7
67,Various Artist,NON Worldwide Compilation Trilogy Volume 2: Part 1,04/04/2018,7.4
68,The Shacks,Haze,04/04/2018,6.1
69,The Weeknd,"My Dear Melancholy,",03/04/2018,6.5
70,Various Artist,Uneven Paths: Deviant Pop From Europe 1980-1991 ,03/04/2018,7.2
71,Lindi Ortega,Liberty,03/04/2018,7.4
72,Warm Bodies,Warm Bodies,03/04/2018,7.7
73,Kacey Musgraves,Golden Hour,02/04/2018,8.7
74,Sevdaliza,The Calling EP,02/04/2018,7
75,Hayley Kiyoko,Expectations,02/04/2018,6
76,Czarface,Czarface Meets Metal Face,02/04/2018,6.4
77,Neneh Cherry,Raw Like Sushi ,01/04/2018,8
78,The Cars,Shake It Up,31/03/2018,6.9
79,No Joy,No Joy / Sonic Boom EP,31/03/2018,5.8
80,The Messthetics,The Messthetics,31/03/2018,7.4
81,Entourage,"Ceremony of Dreams : Studio Sessions & Outtakes, 1972-1977",31/03/2018,7.6
82,Amen Dunes,Freedom,30/03/2018,8.6
83,Stars of the Lid,Gravitational Pull vs. the Desire for an Aquatic Life,30/03/2018,7.7
84,Sons of Kemet,Your Queen Is a Reptile,30/03/2018,7.6
85,SAINt JHN,Collection 1,30/03/2018,6.9
86,Mary Halvorson,Code Girl,30/03/2018,8.1
87,Frankie Cosmos,Vessel,29/03/2018,7.8
88,Toni Braxton,Sex & Cigarettes,29/03/2018,6.8
89,Oklou,The Rite of May EP,29/03/2018,6.7
90,Don Q,Don Talk,29/03/2018,5.2
91,Neil Young,Paradox (Original Music From the Film),28/03/2018,6
92,Various Artist,Isle of Dogs (Original Soundtrack),28/03/2018,7.3
93,Mark Pritchard,The Four Worlds,28/03/2018,7.6
94,Trouble,Edgewood,28/03/2018,7.8
95,Miles Davis,"The Final Tour: The Bootleg Series, Vol. 6",27/03/2018,8.3
96,Chloe x Halle,The Kids Are Alright ,27/03/2018,7.6
97,The Maghreban,01DEAS ,27/03/2018,7.2
98,Alice Bag,Blueprint,27/03/2018,7.4
99,Diplo,California EP,26/03/2018,7.4
100,Holger Czukay,Cinema,26/03/2018,9
101,Sunflower Bean,Twentytwo in Blue ,26/03/2018,6.4
102,Shuta Hasunuma,2 Tone ,26/03/2018,7.4
103,The Kinks,Something Else,25/03/2018,9.3
104,Tom Waits,Closing Time,24/03/2018,8.7
105,Cavern of Anti-Matter,Hormone Lemonade ,24/03/2018,7.7
106,Takecha,Deep Soundscapes,24/03/2018,7.2
107,Habibi,Cardamom Garden EP,24/03/2018,6.8
108,Jack White,Boarding House Reach,23/03/2018,4.7
109,Lolina,The Smoke,23/03/2018,8
110,Ursula K. Le Guin,Music and Poetry of the Kesh,23/03/2018,8.3
111,Bonny Doon,Longwave,23/03/2018,6.3
112,Preoccupations,New Material,22/03/2018,7.6
113,PRhyme,PRhyme 2,22/03/2018,6.1
114,Bishop Nehru,Elevators: Act I & II,22/03/2018,6.2
115,Kash Doll,Brat Mail,22/03/2018,6.1
116,Rich Homie Quan,Rich as in Spirit ,21/03/2018,7.7
117,Saweetie,High Maintenance EP,21/03/2018,6.7
118,Caroline Says,No Fool Like an Old Fool ,21/03/2018,7.5
119,Murs,A Strange Journey Into the Unimaginable,21/03/2018,6.8
120,Yo La Tengo,There‰Ûªs a Riot Going On,20/03/2018,7.6
121,Gulfer,Dog Bless,20/03/2018,7.4
122,Hell to Pay,Bliss,20/03/2018,7.2
123,George FitzGerald,All That Must Be,20/03/2018,6.4
124,The Decemberists,I‰Ûªll Be Your Girl,19/03/2018,6.1
125,Hot Snakes,Jericho Sirens,19/03/2018,7.7
126,Chuck Strangers,Consumers Park,19/03/2018,7.4
127,Will Long,Long Trax 2,19/03/2018,6.2
128,Bruce Springsteen,Nebraska,18/03/2018,10
129,Meshell Ndegeocello,Ventriloquism,17/03/2018,7.8
130,Oneida,Romance,17/03/2018,7.4
131,Jeremih,The Chocolate Box EP,17/03/2018,5.2
132,Killy,Surrender Your Soul,17/03/2018,6.8
133,Mount Eerie,Now Only,16/03/2018,8.5
134,The Neighbourhood,The Neighbourhood,16/03/2018,4.7
135,Young Fathers,Cocoa Sugar,16/03/2018,7.3
136,Dungen,Myths 003 EP,16/03/2018,7.6
137,Essaie Pas,New Path ,16/03/2018,7.7
138,03 Greedo,The Wolf of Grape Street,15/03/2018,8
139,Logic,Bobby Tarantino II ,15/03/2018,6.7
140,Various Artist,Physically Sick 2,15/03/2018,7.2
141,Park Jiha,Communion,15/03/2018,7
142,Jonny Greenwood,You Were Never Really Here (Original Motion Picture Soundtrack),14/03/2018,7.8
143,Albert Hammond Jr.,Francis Trouble,14/03/2018,7.2
144,August Greene,August Greene,14/03/2018,6.5
145,Caroline Rose,LONER,14/03/2018,7.6
146,Of Montreal,White Is Relic/Irrealis Mood,13/03/2018,7.2
147,Smerz,Have fun EP,13/03/2018,8.1
148,DJ Nigga Fox,CrÌ¢nio EP,13/03/2018,8
149,CRZKNY,GVVVV,13/03/2018,6.6
150,David Byrne,American Utopia,12/03/2018,5.8
151,Kraus,Path,12/03/2018,7.3
152,Mozzy,Spiritual Conversations EP,12/03/2018,6.8
153,Haley Heynderickx,I Need to Start a Garden,12/03/2018,7.3
154,8ULENTINA,Eucalyptus EP,12/03/2018,7.5
155,Miles Davis,Get Up With It,11/03/2018,9.6
156,Moby,"Everything Was Beautiful, and Nothing Hurt",10/03/2018,5.7
157,Joan Baez,Whistle Down the Wind,10/03/2018,7.4
158,Various Artist,Hunchin‰Ûª All Night,10/03/2018,7.3
159,Nap Eyes,I‰Ûªm Bad Now,10/03/2018,7.6
160,Lil Yachty,Lil Boat 2,09/03/2018,5.8
161,Ed Schrader‰Ûªs Music Beat,Riddles,09/03/2018,7.4
162,Ronny J,OMGRONNY,09/03/2018,6.8
163,Ilsa,Corpse Fortress,09/03/2018,7.2
164,Andrew W.K.,You‰Ûªre Not Alone,08/03/2018,6.6
165,Valee,"GOOD Job, You Found Me EP",08/03/2018,7.4
166,Lost Girls,Feeling EP,08/03/2018,7.6
167,Elucid,Shit Don‰Ûªt Rhyme No More,08/03/2018,7.7
168,Tory Lanez,Memories Don‰Ûªt Die,07/03/2018,5.5
169,Camp Cope,How to Socialise & Make Friends,07/03/2018,7.8
170,Roc Marciano,RR2: The Bitter Dose,07/03/2018,8
171,P. Adrix,ÌÅlbum Desconhecido,07/03/2018,7.4
172,Titus Andronicus,A Productive Cough,06/03/2018,5.9
173,Lucy Dacus,Historian,06/03/2018,8.1
174,Seun Kuti & Egypt 80,Black Times,06/03/2018,7.6
175,Keiji Haino,"American Dollar Bill - Keep Facing Sideways, You‰Ûªre Too Hideous To Look at Face on",06/03/2018,7.3
176,Soccer Mommy,Clean ,05/03/2018,8.4
177,E Ruscha V,Who Are You,05/03/2018,7.7
178,The Men,Drift,05/03/2018,6.6
179,DJ Taye ,Still Trippin‰Ûª,05/03/2018,7.8
180,Tracey Thorn,Record ,05/03/2018,8
181,Scarface,The Diary,04/03/2018,9.3
182,Spacemen 3,Dreamweapon,03/03/2018,6.6
183,Peggy Gou,Once EP,03/03/2018,7.7
184,Suuns,Felt ,03/03/2018,7.4
185,Dedekind Cut,Tahoe,03/03/2018,7.2
186,The Breeders,All Nerve,02/03/2018,7.1
187,Superorganism ,Superorganism ,02/03/2018,7.8
188,Charlotte Day Wilson,Stone Woman EP,02/03/2018,6.7
189,Various Artist,Hexadic III,02/03/2018,7.6
190,A.A.L (Against All Logic) ,2012 - 2017,01/03/2018,8.8
191,Bad Gyal,Worldwide Angel ,01/03/2018,6.2
192,Towkio,WWW.,01/03/2018,5.8
193,The Lovely Eggs,This Is Eggland,01/03/2018,7
194,Turnstile,Time & Space,28/02/2018,5.4
195,Vundabar,Smell Smoke,28/02/2018,7.5
196,FRIGS,Basic Behaviour,28/02/2018,6.7
197,Joji,In Tongues EP,28/02/2018,5.2
198,Laurie Anderson,Landfall,27/02/2018,7.7
199,S. Carey,Hundred Acres,27/02/2018,6.4
200,Ryuichi Sakamoto,async remodels,27/02/2018,6.3
201,Dabrye,Three/Three,27/02/2018,7
202,SOB X RBE,Gangin,26/02/2018,8.3
203,John B. McLemore,Witness Marks: The Works of John B. McLemore ,26/02/2018,6.8
204,Lo Moon,Lo Moon,26/02/2018,5
205,Black Milk,FEVER,26/02/2018,7.4
206,Starchild & the New Romantic,Language,26/02/2018,7.2
207,Sublime,40oz. to Freedom,25/02/2018,5.6
208,Nipsey Hussle,Victory Lap,24/02/2018,7.8
209,Hailu Mergia,Lala Belu,24/02/2018,8
210,Johanna Warren,Gemini II ,24/02/2018,7
211,Joey Dosik,Game Winner EP,24/02/2018,6.3
212,Digable Planets,Reachin‰Ûª (A New Refutation of Time and Space),23/02/2018,8.7
213,Screaming Females,All at Once,23/02/2018,8
214,Moneybagg Yo,2 Heartless,23/02/2018,7.2
215,Tyga,Kyoto,23/02/2018,3.3
216,Ludwig GÌ_ransson,Black Panther (Original Score),22/02/2018,7.6
217,Kodak Black,Heart Break Kodak,22/02/2018,5
218,Loma,Loma,22/02/2018,7.8
219,American Nightmare,American Nightmare,22/02/2018,7.3
220,Superchunk,What a Time to Be Alive,21/02/2018,8.1
221,Belle and Sebastian,"How to Solve Our Human Problems, Pt. 3",21/02/2018,7.2
222,Everything Is Recorded,Everything Is Recorded,21/02/2018,7.2
223,Wild Beasts,Last Night All My Dreams Came True ,21/02/2018,6.6
224,U.S. Girls,In a Poem Unlimited,20/02/2018,8.6
225,Mach-Hommy,Bullettproof Luh,20/02/2018,7.4
226,Ride,Tomorrow‰Ûªs Shore EP,20/02/2018,7
227,Rejjie Snow,Dear Annie,20/02/2018,5.5
228,Ought,Room Inside the World ,19/02/2018,7.1
229,American Pleasure Club,A Whole Fucking Lifetime of This,19/02/2018,7.9
230,Belle and Sebastian,The Boy With the Arab Strap,18/02/2018,8.5
231,Sonny Rollins,Way Out West,17/02/2018,8.8
232,Fischerspooner,Sir,17/02/2018,5.8
233,Brandi Carlile,"By the Way, I Forgive You",17/02/2018,6.9
234,Mark Renner,Few Traces,17/02/2018,7.7
235,Car Seat Headrest,Twin Fantasty,16/02/2018,8.6
236,Son Lux,Brighter Wounds,16/02/2018,7.3
237,Pianos Become the Teeth,Wait for Love,16/02/2018,7.7
238,Alva Noto,Glass,16/02/2018,7.5
239,Songs: Ohia,Travels in Constants EP,15/02/2018,8
240,Zaki Ibrahim,The Secret Life of Planets,15/02/2018,7.8
241,Cozz,Effected,15/02/2018,6.8
242,Ashtar Lavanda,Unsolved Mysteries,15/02/2018,7.1
243,2 Chainz,The Play Don‰Ûªt Care Who Makes It EP,14/02/2018,7.5
244,Hovvdy,Cranberry,14/02/2018,7.5
245,Holy Motors,Slow Sundown,14/02/2018,6.1
246,PoliÌ_a,Music for the Long Emergency,14/02/2018,5.2
247,Ravyn Lenae,Crush EP,13/02/2018,7.9
248,High Rise,High Rise II,13/02/2018,8.4
249,Anenon,Tongue,13/02/2018,7.5
250,Genocide Pact,Order of Torment,13/02/2018,7.3
251,Various Artist,Black Panther The Album,12/02/2018,7.5
252,Ezra Furman,Transangelic Exodus,12/02/2018,7.4
253,Audio Push,Cloud 909,12/02/2018,5.9
254,SHIRT,Pure Beauty ,12/02/2018,6.3
255,John Tejada,Dead Start Program,12/02/2018,6.5
256,OutKast,Stankonia,11/02/2018,9.5
257,Dashboard Confessional,Crooked Shadows,10/02/2018,4.7
258,Susanna,Go Dig My Grave,10/02/2018,6
259,Harm‰Ûªs Way,Posthuman,10/02/2018,6.8
260,Mija ,How to Measure the Distance Between Lovers EP,10/02/2018,7
261,MGMT,Little Dark Age,09/02/2018,7
262,Palm,Rock Island ,09/02/2018,6.8
263,Brigid Mae Power,The Two Worlds,09/02/2018,7.4
264,Gunna,Drip Season 3,09/02/2018,5.2
265,Franz Ferdinand,Always Ascending,08/02/2018,6.9
266,Efrim Manuel Menuck,Pissing Stars,08/02/2018,7.8
267,Lea Bertucci,Metal Aether,08/02/2018,7.6
268,Dream Wife,Dream Wife,08/02/2018,6.7
269,Christoph De Babalon,"If You‰Ûªre Into It, I‰Ûªm Out of It",07/02/2018,8.4
270,The Soft Moon,Criminal,07/02/2018,7.2
271,Caleb Giles,There Will Be Rain ,07/02/2018,7
272,Kuniyuki Takahashi,Early Tape Works (1986-1993) Vol.1,07/02/2018,6.9
273,Rich Brian,Amen,06/02/2018,5.9
274,Portal,ION,06/02/2018,7.8
275,Kilchhofer,The Book Room,06/02/2018,7.7
276,K. Leimer,MitteltÌ_ner,06/02/2018,7.5
277,Rhye,Blood,05/02/2018,6.3
278,Hookworms,Microshift,05/02/2018,7.9
279,Kyle Craft,Full Circle Nightmare,05/02/2018,4.1
280,Helado Negro,Island Universe Story Four,05/02/2018,7.4
281,La Monte Young,The Well-Tuned Piano,04/02/2018,9.5
282,Steve Reich,Pulse/Quartet ,03/02/2018,4.9
283,Anna Burch,Quit the Curse,03/02/2018,6.8
284,Mukqs,èµá‹Åç_ü_‹ÅÜ‹âª‹â_,03/02/2018,7.1
285,Mammoth Grinder,Cosmic Crypt,03/02/2018,7.6
286,Justin Timberlake,Man of the Woods,02/02/2018,3.8
287,H.C. McEntire,Lionheart,02/02/2018,8
288,Burna Boy,Outside,02/02/2018,7.7
289,Field Music,Open Here,02/02/2018,7.2
290,Khruangbin,Con Todo El Mundo,01/02/2018,7.6
291,Stick in the Wheel,Follow Them True,01/02/2018,7.7
292,Daniel Avery,Slow Fade EP,01/02/2018,7
293,Sylvie Courvoisier Trio,D‰ÛªAgala,01/02/2018,7.4
294, JPEGMAFIA,Veteran,31/01/2018,7.7
295,Domo Genesis,Aren‰Ûªt U Glad You‰Ûªre U?,31/01/2018,4.9
296,OMB Peezy ,Young & Reckless,31/01/2018,6.8
297,Meat Beat Manifesto,Impossible Star,31/01/2018,6.9
298,Migos,Culture II,30/01/2018,6.4
299,Payroll Giovanni,Big Bossin Vol. 2,30/01/2018,7.8
300,NADINE,Oh My,30/01/2018,6.6
301,Dommengang,Love Jail ,30/01/2018,7
302,No Age,Snares Like a Haircut,29/01/2018,8
303,Pendant,Make Me Know You Sweet ,29/01/2018,7.8
304,Ghostface Killah,The Brown Tape,29/01/2018,6
305,RAMZi,PÌ¬ze-Piton,29/01/2018,7.7
306,The Spook School, Could It Be Different?,29/01/2018,6.8
307,2Pac,All Eyez On Me,28/01/2018,9.4
308,Fleetwood Mac,Fleetwood Mac ,27/01/2018,9
309,Hollie Cook,Vessel of Love,27/01/2018,7.4
310,De Lux,More Disco Songs About Love,27/01/2018,6.1
311,Evidence,Weather or Not ,27/01/2018,7
312,Ty Segall,Freedom‰Ûªs Goblin,26/01/2018,8.1
313,Television Personalities,Beautiful Despair,26/01/2018,6.9
314,Skream,Fabriclive 96,26/01/2018,5.6
315,Calexico,The Thread That Keeps Us ,26/01/2018,7.1
316,Johnny Jewel,Digital Rain,25/01/2018,7.4
317,Craig David,The Time Is Now,25/01/2018,5.5
318,Django Django,Marble Skies,25/01/2018,6.9
319,Tribulation,Down Below ,25/01/2018,8
320,Nils Frahm,All Melody,24/01/2018,7.8
321,Curtis Roach,Highly Caffeinated,24/01/2018,6.3
322,awakebutstillinbed,what people call low self‰ÛÜ-‰ÛÜesteem is really just seeing yourself the way that other people see you,24/01/2018,7.7
323,Aksak Maboul,Un Peu De L‰ÛªÌâme Des Bandits,24/01/2018,7.2
324,Tune-Yards,I Can Feel You Creep Into My Private Life,23/01/2018,6.2
325,The Shins,The Worm‰Ûªs Heart,23/01/2018,6.6
326,Mudhoney,LiE,23/01/2018,6.9
327,Chris Dave and the Drumhedz,Chris Dave and the Drumhedz,23/01/2018,6.2
328,Porches,The House,22/01/2018,6.4
329,BÌ÷RNS,Blue Madonna,22/01/2018,5.7
330,Dave East,Paranoia 2,22/01/2018,7.4
331,Cadence Weapon,Cadence Weapon,22/01/2018,7.3
332,The-Dream,Love/Hate,21/01/2018,9.1
333,Todd Rundgren,Something/Anything?,20/01/2018,9
334,Glen Hansard,Between Two Shores,20/01/2018,5.7
335,Matthewdavid,Time Flying Beats,20/01/2018,7.1
336,Hoodrich Pablo Juan ,Rich Hood,20/01/2018,6.8
337,Shopping,The Official Body,19/01/2018,8.1
338,Phew,Voice Hardcore,19/01/2018,7.5
339,First Aid Kit,Ruins,19/01/2018,6.4
340,The Go! Team,Semicircle,19/01/2018,6.3
341,Belle and Sebastian,"How to Solve Our Human Problems, Pt. 2",18/01/2018,7.4
342,SiR,November,18/01/2018,7.2
343,Profligate ,Somewhere Else ,18/01/2018,6.8
344,Organ Tapes,Into One Name,18/01/2018,7.3
345,Camila Cabello,Camila,17/01/2018,6.8
346,Shame,Songs of Praise,17/01/2018,7.5
347,„â_À„Å_±,Sekundenschlaf,17/01/2018,7.8
348,Quincy Jones,The Dude,17/01/2018,8.1
349,Jonny Greenwood,Phantom Thread Original Motion Picture Soundtrack,16/01/2018,7.5
350,Maxo Kream,Punken,16/01/2018,7.6
351,Sun Ra,Sun Ra Plays Gershwin,16/01/2018,6.6
352,Laraaji,"Vision Songs, Vol. 1",16/01/2018,6.7
353,King Gizzard & The Lizard Wizard,Gumboot Soup,15/01/2018,7.7
354,Lil Skies,Life of a Dark Rose,15/01/2018,6.4
355,Gil Scott-Heron,Winter in America,14/01/2018,9.3
356,Black Rebel Motorcycle Club,Wrong Creatures,13/01/2018,5.8
357,Jen Shyu,Song of Silver Geese,13/01/2018,7.4
358,Booji Boys,Weekend Rocker,13/01/2018,7
359,Panda Bear,A Day With the Homies,12/01/2018,6.6
360,Conway,G.O.A.T.,12/01/2018,6.5
361,Carlos Maria Trindade,Mr. Wollogallu ,12/01/2018,7
362,Francis and the Lights,Just for Us,11/01/2018,6.6
363,Gucci Mane,El Gato: The Human Glacier ,11/01/2018,7.3
364,Sidney Gish,No Dogs Allowed,11/01/2018,7.7
365,Betty Davis,Nasty Gal,10/01/2018,8.4
366,The Jazz Butcher,The Wasted Years,10/01/2018,6.7
367,RJMrLA,The Ghetto,10/01/2018,7.2
368,CupcakKe,Ephorize,09/01/2018,8.3
369,Scallops Hotel,sovereign nose of (y)‰ÛÜour arrogant face,09/01/2018,7.6
370,Special Explosion,To Infinity,09/01/2018,7.5
371,The 1975,"DH00278 (Live From the O2, London, 16/12/16)",08/01/2018,7.1
372,Vera,Good Job No Conversation,08/01/2018,6.8
373,Shells,Shells 2,08/01/2018,7.6
374,The Blue Nile,Hats,07/01/2018,8.8
375,Esperanza Spalding,Exposure,06/01/2018,7.7
376,Birthing Hips,Urge to Merge,06/01/2018,7
377,Emily A. Sprague,Water Memory,06/01/2018,7.6
378,Jeff Rosenstock,POST-,05/01/2018,8.2
379,Drakeo the Ruler,Cold Devil,05/01/2018,7.9
380,Various Artist,Bright: The Album,05/01/2018,3.2
381,Lil Wayne,Dedication 6,04/01/2018,5.8
382,Jon Brion,Lady Bird (Original Motion Picture Soundtrack),04/01/2018,7.3
383,Pauline Anna Strom,Trans-Millenia Music,04/01/2018,7.3
384,Travis Scott,"Huncho Jack, Jack Huncho",03/01/2018,6.3
385,Jeremy Enigk,Ghosts,03/01/2018,7.4
386,Virtual Self,Virtual Self EP,03/01/2018,5.9
387,Zomby, Mercury‰Ûªs Rainbow ,02/01/2018,7.7
388,The Khan Jamal Creative Arts Ensemble,Drum Dance to the Motherland,02/01/2018,7.3
389,Onyx Collective ,Lower East Suite Part One,02/01/2018,7.4
390,Chance the Rapper,Merry Christmas Lil‰Ûª Mama Re-Wrapped,22/12/2017,7.7
391,Jeezy,Pressure,22/12/2017,6.3
392,G-Eazy,The Beautiful & Damned,21/12/2017,5.1
393,Shy Glizzy,Quiet Storm,21/12/2017,7.1
394,Charli XCX,Pop 2,20/12/2017,8.4
395,The Body,A Home on Earth EP,20/12/2017,7.2
396,Eminem,Revival,19/12/2017,5
397,Superpitcher,The Golden Ravedays,19/12/2017,6.6
