artist,album,rating
Wreck & Reference,Alien Pains,71
Niko Niko,Ozero Zabvenii,61
Warm Bodies,Warm Bodies,77
Danheim,Fridr,84
Sergey Lazarev,The One,18
Littlebabyangel,Gada,73
Mad Pilot,Russia Today,70
DJ Healer,Nothing 2 Loose / Prime Minister Of Doom - Mudshadow Propaganda,92
Dong Wu Yuan Ding Zi Hu ,Dong Wu Yuan Ding Zi Hu ,77
Larry Wish,How More Can You Need?,80
Sergei Lazarev,The One,0
Empire,The Empire Strikes Start!!,0
Various Artists,Uneven Paths: Deviant Pop From Europe 1980-1991,77
Moodymann,Pitch Black City Reunion,76
Luniz,No Pressure,0
Kacey Musgraves,Golden Hour,81
The Weeknd,My Dear Melancholy,64
The Voidz,Virtue,72
Amen Dunes,Freedom,80
Frankie Cosmos,Vessel,74
CZARFACE & MF DOOM,Czarface Meets Metal Face,73
Jean Grae & Quelle Chris,Everything's Fine,79
Hayley Kiyoko,Expectations,76
Sons of Kemet,Your Queen is a Reptile,81
The Vaccines,Combat Sports,77
Rich The Kid,The World Is Yours,69
Cabbage,Nihilistic Glamour Shots,70
Kate Nash,Yesterday Was Forever,64
Sevdaliza,The Calling,70
The Garden,Mirror Might Steal Your Charm,58
Her,Her,60
Doja Cat,Amala,74
FACS,Negative Houses,80
Holy Wave,Adult Fear,60
Major Murphy,No. 1,80
Chris Carter,Chris Carter's Chemistry Lessons Vol. 1,78
Orquesta Akokan,Orquesta Akokan,90
Paul Cherry,Flavour,70
DJ Esco,KOLORBLIND,72
The Shacks,Haze,61
Trace Mountains,A Partner to Lean On,76
No Joy / Sonic Boom,No Joy / Sonic Boom,69
Naked Giants,Sluff,80
SAINt JHN,Collection One,74
Jukebox the Ghost,Off to the Races,80
Ash Koosha,Aktual,71
Lindi Ortega,Liberty,81
Queen Of Jeans,Dig Yourself,70
Daphne & Celeste,Daphne & Celeste Save The World,77
Delroy Edwards,Rio Grande,80
Altin Gun,On,82
Adrian Younge,Voices of Gemma,66
Trembling Bells,Dungeness,74
Ashley McBryde,Girl Going Nowhere,81
Broken Records,What We Might Know,80
Henry Green,Shift,70
The Spectors,Ooh Aah Aah,73
Tom Rosenthal,Don't Die Curious,69
Primordial,Exile Amongst the Ruins,75
Tink,Pain & Pleasure,58
Escape The Fate,I Am Human,43
Chevel,Always Yours,72
Innov Gnawa,Aicha,85
Prides,A Mind Like the Tide: Part Two,55
N Kramer,Endless,69
Ben Harper & Charlie Musselwhite,No Mercy In This Land,73
Barren Earth,A Complex of Cages,77
Nihilist Cheerleader,Riot Right?,73
Haux,Something to Remember,78
Augury,Illusive Golden Age,78
Desperate Journalist,You Get Used To It,81
Lifted Bells,Minor Tantrums,57
Samoe bol'shoe prostoe chislo,My ne spali my snilis',79
Altin Gun,On,65
Camilla Blue,Blue,44
Deadmau5,Where's the Drop?,77
Cavalier,Private Stock,75
Mary Halvorson,Code Girl,79
Media Jeweler,1-800-SUCCEED,70
Slomatics & Mammoth Weed Wizard Bastard,Totems,76
Oh Land,Watermusic,57
Lychgate,The Contagion in Nine Steps,70
Zeke,Hellbender,77
Andreas Tilliander,Solen Traffar Topparna Forst,70
The Lonely Biscuits,The Universe In You,35
TTeo,GGG,1
Dj Ten,Trinity (Deluxe Edition),80
PTTRNS,Material Und Geschichte,66
Cascadeur,Camera,89
Benabar,Le debut de la suite,78
Alam Khan,Immersion,80
Matteo Bortone,Claroscuro,75
Various Artists,Before Anythang (Original Motion Picture Soundtrack),10
Eric Copeland,Beat It,60
Maria Antonietta,Deluderti,55
Wendy Rae Fowler,Warped,75
Harrison Brome,Body High,50
The Fearless Flyers,The Fearless Flyers,95
Wantigga,Suddenly Everything,82
Minutes Unlimited,Making Contact,70
Groeni,Nihx,70
Mary Chapin Carpenter,Sometimes Just the Sky,70
Lil Durk,Just Cause Y'all Waited,73
Kim Richey,Edgeland,75
Laurence Pike,Distant Early Warning,80
Eagle Twin,The Thundering Heard,80
Blue Lab Beats,Xover,90
Dogbite,True Lo-Fi Will Find You In The End,73
Judicator,The Last Emperor,85
Yung Buda,Halloween o Ano Todo,57
Punchline,LION,71
Advokaty,23:45,85
Verge Collection,Flaneur,62
Levellers,We the Collective,76
Meyhem Lauren,Glass,0
Napalm Death,Coded Smears And More Uncommon Slurs,0
The Cars,Heartbeat City [Expanded],0
The Cars,Shake It Up [Expanded],0
Styles P,Nickel Bag,0
Natali Felicia,Wrong Era,80
Eric Andersen,The Essential Eric Andersen,80
Echo Collective,Echo Collective Plays Amnesiac,0
Sam Morrow,Concrete and Mud,80
Barbarossa,Lier,80
Bettye LaVette,Things Have Changed,78
Anna & Elizabeth,The Invisible Comes to Us,76
Monoloc & Beauty of Inconsequenz,Storyline EP,40
Charles Lloyd Quartet,Live 1966,55
WuW,Rien ne nous sera epargne,56
U-God,Venom,58
Bones & Beeker,Inside a Different Mind,0
Recloose,So This Is the Dining Room,0
Light the Torch,Revival,70
Lio,Lio Canta Caymmi,0
Will Saul,Inside Out 1,74
Megumi Hayashibara,Fifty~Fifty,0
Blackbird Blackbird,Neon Night,70
KOOL-A$$-YEEZU$,dialect was the prequel,58
Brandon Can't Dance,Back in Bed,65
Throwing Snow,Simmer,60
Solar Fields,Ourdom,74
Conway The Machine,BLAKK TAPE,75
Mokira,Chill Out,0
Empath,Liberating Guilt and Fear,81
Curren$y,Parking Lot Music,59
CASTLEBEAT,VHS,76
Joan Shelley,Rivers and Vessels,87
Kwame,Endless Conversations.,78
NxxxxxS,FRIENDZONE,70
Koda Kumi,Driving Hit's 8,80
!!!,MEGAMiiiX Vol 01: Shake Shake Shake,70
Callie Ryan,Health,0
Ssaliva,WYIN,0
Fhana,World Atlas,0
Sakanaction,Sakana Zukan,0
Garnidelia,G.R.N.D.,0
B.A.P,Massive,0
Boris,Eternity,0
The Republic of Wolves,Shrine,94
Besvarjelsen,Vallmo,64
Hong Chulki / Will Guthrie,Mosquitoes and Crabs,83
A Boogie Wit da Hoodie,Love Bridge,0
Toshiya Tsunoda / Taku Unami,Wovenland,0
Christian Wolff / Antoine Beuger,Where Are We Going Today,0
Wussy,Getting Better,0
Ice Crime,Ataraxia,45
Marcel Lune,Family Grooves EP,79
Manoel Magalhaes,Consertos em Geral,76
Lil' Flip,King Life,0
VACATIONS,Changes,72
Photo Fire,Over & Over / Frame by Frame,68
metoronori,metoronori works 14 - 18 peru,53
Caroline Davis,Heart Tonic,85
Jack White,Boarding House Reach,71
Preoccupations,New Material,70
Sunflower Bean,Twentytwo in Blue,75
Diplo,California,59
at Wendy's,We Beefin?,10
Bonny Doon,Longwave,71
Chloe x Halle,The Kids Are Alright,76
George Ezra,Staying at Tamara's,63
Cavern of Anti-Matter,Hormone Lemonade,75
Yamantaka // Sonic Titan,Dirt,80
Mark Pritchard,The Four Worlds,67
Lissie,Castles,77
Courtney Marie Andrews,May Your Kindness Remain,78
Guided By Voices,Space Gun,73
Trouble & Mike WiLL Made It,Edgewood,78
Alice Bag,Blueprint,79
Of Feather And Bone,Bestial Hymns of Perversion,90
Seth Graham,Gasp,80
Toni Braxton,Sex & Cigarettes,72
The Messthetics,The Messthetics,71
Demob Happy,Holy Doom,100
Club Kuru,Giving In,70
Field Report,Summertime Songs,62
NoMBE,They Might've Even Loved Me,72
Ben Frost,All That You Love Will Be Eviscerated,70
Baloji,137 Avenue Kaniama,70
Band of Gold,Where's the Magic,75
GosT,Possessor,61
Pale Kids,Hesitater,80
Erika Wennerstrom,Sweet Unknown,74
Vancouver Sleep Clinic,Therapy Phase 01,65
Lojii,lofeye,70
Sloppy Jane,Willow,65
The Sword,Used Future,61
